Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
02.09.2025 23:45;03.09.2025 00:00;11.861,25;11.890,25;29,00;8.551,50
03.09.2025 00:00;03.09.2025 00:15;11.565,50;11.571,00;5,50;8.271,75
03.09.2025 00:15;03.09.2025 00:30;11.438,25;11.445,50;7,25;8.016,00
03.09.2025 00:30;03.09.2025 00:45;11.185,75;11.193,00;7,25;7.617,50
03.09.2025 00:45;03.09.2025 01:00;11.123,00;11.130,25;7,25;7.442,75
03.09.2025 01:00;03.09.2025 01:15;11.021,50;11.024,50;3,00;7.223,25
03.09.2025 01:15;03.09.2025 01:30;10.949,50;10.957,50;8,00;6.931,25
03.09.2025 01:30;03.09.2025 01:45;10.870,75;10.945,00;74,25;6.706,50
03.09.2025 01:45;03.09.2025 02:00;10.811,25;10.938,75;127,50;6.637,50
03.09.2025 02:00;03.09.2025 02:15;10.724,25;10.846,00;121,75;6.594,50
03.09.2025 02:15;03.09.2025 02:30;10.703,50;10.818,50;115,00;6.480,75
03.09.2025 02:30;03.09.2025 02:45;10.691,25;10.795,75;104,50;6.323,00
03.09.2025 02:45;03.09.2025 03:00;10.760,00;10.885,50;125,50;6.274,50
03.09.2025 03:00;03.09.2025 03:15;10.786,75;10.929,50;142,75;6.169,75
03.09.2025 03:15;03.09.2025 03:30;10.783,75;11.006,00;222,25;5.987,75
03.09.2025 03:30;03.09.2025 03:45;10.853,75;11.135,75;282,00;5.958,00
03.09.2025 03:45;03.09.2025 04:00;10.947,25;11.242,75;295,50;5.959,50
03.09.2025 04:00;03.09.2025 04:15;10.966,75;11.265,50;298,75;5.892,25
03.09.2025 04:15;03.09.2025 04:30;10.907,00;11.196,00;289,00;5.757,25
03.09.2025 04:30;03.09.2025 04:45;11.034,00;11.285,25;251,25;5.788,75
03.09.2025 04:45;03.09.2025 05:00;11.138,75;11.366,25;227,50;5.797,75
03.09.2025 05:00;03.09.2025 05:15;11.485,00;11.702,25;217,25;6.007,75
03.09.2025 05:15;03.09.2025 05:30;11.655,75;11.803,25;147,50;6.098,25
03.09.2025 05:30;03.09.2025 05:45;11.926,50;11.942,00;15,50;6.357,25
03.09.2025 05:45;03.09.2025 06:00;12.351,00;12.359,50;8,50;6.742,25
03.09.2025 06:00;03.09.2025 06:15;13.074,25;13.106,50;32,25;7.319,50
03.09.2025 06:15;03.09.2025 06:30;13.385,00;13.391,25;6,25;7.540,75
03.09.2025 06:30;03.09.2025 06:45;13.575,25;13.618,75;43,50;7.635,00
03.09.2025 06:45;03.09.2025 07:00;13.799,75;13.843,00;43,25;7.635,25
03.09.2025 07:00;03.09.2025 07:15;14.016,75;14.082,50;65,75;7.625,50
03.09.2025 07:15;03.09.2025 07:30;14.363,75;14.406,25;42,50;7.685,75
03.09.2025 07:30;03.09.2025 07:45;14.570,25;14.573,25;3,00;7.493,75
03.09.2025 07:45;03.09.2025 08:00;14.830,50;14.835,00;4,50;7.315,75
03.09.2025 08:00;03.09.2025 08:15;14.948,75;14.952,25;3,50;7.007,50
03.09.2025 08:15;03.09.2025 08:30;15.242,75;15.252,00;9,25;6.831,25
03.09.2025 08:30;03.09.2025 08:45;15.396,75;15.485,25;88,50;6.420,50
03.09.2025 08:45;03.09.2025 09:00;15.481,75;15.651,25;169,50;5.882,50
03.09.2025 09:00;03.09.2025 09:15;15.110,25;15.285,75;175,50;4.853,75
03.09.2025 09:15;03.09.2025 09:30;15.340,75;15.613,50;272,75;4.443,00
03.09.2025 09:30;03.09.2025 09:45;15.639,50;16.102,25;462,75;4.054,75
03.09.2025 09:45;03.09.2025 10:00;15.680,50;16.447,50;767,00;3.440,25
03.09.2025 10:00;03.09.2025 10:15;15.729,25;16.441,75;712,50;3.045,25
03.09.2025 10:15;03.09.2025 10:30;15.724,25;16.581,50;857,25;2.587,50
03.09.2025 10:30;03.09.2025 10:45;15.892,00;16.718,25;826,25;2.481,00
03.09.2025 10:45;03.09.2025 11:00;16.161,25;17.016,75;855,50;2.572,00
03.09.2025 11:00;03.09.2025 11:15;16.102,75;17.064,75;962,00;2.130,00
03.09.2025 11:15;03.09.2025 11:30;15.991,75;16.954,75;963,00;1.617,50
03.09.2025 11:30;03.09.2025 11:45;15.972,75;16.930,50;957,75;1.393,00
03.09.2025 11:45;03.09.2025 12:00;15.979,25;16.939,25;960,00;1.522,75
03.09.2025 12:00;03.09.2025 12:15;15.931,50;16.788,75;857,25;1.525,00
03.09.2025 12:15;03.09.2025 12:30;15.967,50;16.802,50;835,00;1.404,25
03.09.2025 12:30;03.09.2025 12:45;15.905,25;16.747,25;842,00;1.386,25
03.09.2025 12:45;03.09.2025 13:00;15.788,50;16.644,25;855,75;1.295,50
03.09.2025 13:00;03.09.2025 13:15;15.629,25;16.491,50;862,25;1.073,75
03.09.2025 13:15;03.09.2025 13:30;15.547,25;16.430,00;882,75;1.083,75
03.09.2025 13:30;03.09.2025 13:45;15.469,50;16.364,00;894,50;1.194,75
03.09.2025 13:45;03.09.2025 14:00;15.354,00;16.204,00;850,00;1.279,75
03.09.2025 14:00;03.09.2025 14:15;15.265,50;16.129,75;864,25;1.470,50
03.09.2025 14:15;03.09.2025 14:30;15.102,50;15.946,50;844,00;1.382,50
03.09.2025 14:30;03.09.2025 14:45;14.963,00;15.846,50;883,50;1.218,00
03.09.2025 14:45;03.09.2025 15:00;14.919,00;15.830,00;911,00;1.415,75
03.09.2025 15:00;03.09.2025 15:15;15.024,25;15.902,50;878,25;1.625,00
03.09.2025 15:15;03.09.2025 15:30;15.106,50;15.975,00;868,50;1.803,75
03.09.2025 15:30;03.09.2025 15:45;14.901,75;15.718,50;816,75;1.976,75
03.09.2025 15:45;03.09.2025 16:00;14.854,75;15.578,25;723,50;2.170,25
03.09.2025 16:00;03.09.2025 16:15;15.135,50;15.814,50;679,00;2.620,75
03.09.2025 16:15;03.09.2025 16:30;14.866,50;15.547,75;681,25;2.533,00
03.09.2025 16:30;03.09.2025 16:45;14.823,25;15.476,50;653,25;2.830,75
03.09.2025 16:45;03.09.2025 17:00;14.672,75;15.276,25;603,50;2.901,50
03.09.2025 17:00;03.09.2025 17:15;14.796,00;15.381,25;585,25;2.992,50
03.09.2025 17:15;03.09.2025 17:30;14.732,75;15.273,50;540,75;3.053,50
03.09.2025 17:30;03.09.2025 17:45;14.893,00;15.271,50;378,50;3.509,50
03.09.2025 17:45;03.09.2025 18:00;14.945,00;15.205,00;260,00;4.197,25
03.09.2025 18:00;03.09.2025 18:15;14.935,50;15.234,75;299,25;4.625,25
03.09.2025 18:15;03.09.2025 18:30;14.834,00;14.990,00;156,00;5.233,50
03.09.2025 18:30;03.09.2025 18:45;14.867,50;14.892,50;25,00;5.902,75
03.09.2025 18:45;03.09.2025 19:00;14.841,00;14.857,00;16,00;6.477,50
03.09.2025 19:00;03.09.2025 19:15;14.735,25;14.750,75;15,50;7.083,25
03.09.2025 19:15;03.09.2025 19:30;14.618,50;14.634,00;15,50;7.406,25
03.09.2025 19:30;03.09.2025 19:45;14.551,00;14.566,50;15,50;7.483,50
