Datum von;Datum bis;Generation_DE A9 [MW] Berechnete Auflösungen;Generation_DE A10 [MW] Berechnete Auflösungen;Generation_DE B9 [MW] Berechnete Auflösungen;Generation_DE B10 [MW] Berechnete Auflösungen
27.08.2025 22:45;27.08.2025 23:00;0,000;-;-;-
27.08.2025 23:00;27.08.2025 23:15;0,000;-;-;-
27.08.2025 23:15;27.08.2025 23:30;0,000;-;-;-
27.08.2025 23:30;27.08.2025 23:45;0,000;-;-;-
27.08.2025 23:45;28.08.2025 00:00;0,000;-;-;-
28.08.2025 00:00;28.08.2025 00:15;0,000;-;-;-
28.08.2025 00:15;28.08.2025 00:30;0,000;-;-;-
28.08.2025 00:30;28.08.2025 00:45;0,000;-;-;-
28.08.2025 00:45;28.08.2025 01:00;0,000;-;-;-
28.08.2025 01:00;28.08.2025 01:15;0,000;-;-;-
28.08.2025 01:15;28.08.2025 01:30;0,000;-;-;-
28.08.2025 01:30;28.08.2025 01:45;0,000;-;-;-
28.08.2025 01:45;28.08.2025 02:00;0,000;-;-;-
28.08.2025 02:00;28.08.2025 02:15;0,000;-;-;-
28.08.2025 02:15;28.08.2025 02:30;0,000;-;-;-
28.08.2025 02:30;28.08.2025 02:45;0,000;-;-;-
28.08.2025 02:45;28.08.2025 03:00;0,000;-;-;-
28.08.2025 03:00;28.08.2025 03:15;0,000;-;-;-
28.08.2025 03:15;28.08.2025 03:30;0,000;-;-;-
28.08.2025 03:30;28.08.2025 03:45;0,000;-;-;-
28.08.2025 03:45;28.08.2025 04:00;0,000;-;-;-
28.08.2025 04:00;28.08.2025 04:15;0,000;-;-;-
28.08.2025 04:15;28.08.2025 04:30;0,000;-;-;-
28.08.2025 04:30;28.08.2025 04:45;0,000;-;-;-
28.08.2025 04:45;28.08.2025 05:00;0,000;-;-;-
28.08.2025 05:00;28.08.2025 05:15;0,000;-;-;-
28.08.2025 05:15;28.08.2025 05:30;0,000;-;-;-
28.08.2025 05:30;28.08.2025 05:45;0,000;-;-;-
28.08.2025 05:45;28.08.2025 06:00;0,000;-;-;-
28.08.2025 06:00;28.08.2025 06:15;0,000;-;-;-
28.08.2025 06:15;28.08.2025 06:30;0,000;-;-;-
28.08.2025 06:30;28.08.2025 06:45;0,000;-;-;-
28.08.2025 06:45;28.08.2025 07:00;0,000;-;-;-
28.08.2025 07:00;28.08.2025 07:15;7,250;-;-;-
28.08.2025 07:15;28.08.2025 07:30;7,250;-;-;-
28.08.2025 07:30;28.08.2025 07:45;7,250;-;-;-
28.08.2025 07:45;28.08.2025 08:00;7,250;-;-;-
28.08.2025 08:00;28.08.2025 08:15;64,250;-;-;-
28.08.2025 08:15;28.08.2025 08:30;64,250;-;-;-
28.08.2025 08:30;28.08.2025 08:45;64,250;-;-;-
28.08.2025 08:45;28.08.2025 09:00;64,250;-;-;-
28.08.2025 09:00;28.08.2025 09:15;12,750;-;-;-
28.08.2025 09:15;28.08.2025 09:30;12,750;-;-;-
28.08.2025 09:30;28.08.2025 09:45;12,750;-;-;-
28.08.2025 09:45;28.08.2025 10:00;12,750;-;-;-
28.08.2025 10:00;28.08.2025 10:15;6,000;-;-;-
28.08.2025 10:15;28.08.2025 10:30;6,000;-;-;-
28.08.2025 10:30;28.08.2025 10:45;6,000;-;-;-
28.08.2025 10:45;28.08.2025 11:00;6,000;-;-;-
28.08.2025 11:00;28.08.2025 11:15;1,750;-;-;-
28.08.2025 11:15;28.08.2025 11:30;1,750;-;-;-
28.08.2025 11:30;28.08.2025 11:45;1,750;-;-;-
28.08.2025 11:45;28.08.2025 12:00;1,750;-;-;-
28.08.2025 12:00;28.08.2025 12:15;0,000;-;-;-
28.08.2025 12:15;28.08.2025 12:30;0,000;-;-;-
28.08.2025 12:30;28.08.2025 12:45;0,000;-;-;-
28.08.2025 12:45;28.08.2025 13:00;0,000;-;-;-
28.08.2025 13:00;28.08.2025 13:15;0,000;-;-;-
28.08.2025 13:15;28.08.2025 13:30;0,000;-;-;-
28.08.2025 13:30;28.08.2025 13:45;0,000;-;-;-
28.08.2025 13:45;28.08.2025 14:00;0,000;-;-;-
28.08.2025 14:00;28.08.2025 14:15;0,000;-;-;-
28.08.2025 14:15;28.08.2025 14:30;0,000;-;-;-
28.08.2025 14:30;28.08.2025 14:45;0,000;-;-;-
28.08.2025 14:45;28.08.2025 15:00;0,000;-;-;-
28.08.2025 15:00;28.08.2025 15:15;0,000;-;-;-
28.08.2025 15:15;28.08.2025 15:30;0,000;-;-;-
28.08.2025 15:30;28.08.2025 15:45;0,000;-;-;-
28.08.2025 15:45;28.08.2025 16:00;0,000;-;-;-
28.08.2025 16:00;28.08.2025 16:15;6,750;-;-;-
28.08.2025 16:15;28.08.2025 16:30;6,750;-;-;-
28.08.2025 16:30;28.08.2025 16:45;6,750;-;-;-
28.08.2025 16:45;28.08.2025 17:00;6,750;-;-;-
28.08.2025 17:00;28.08.2025 17:15;53,500;-;-;-
28.08.2025 17:15;28.08.2025 17:30;53,500;-;-;-
28.08.2025 17:30;28.08.2025 17:45;53,500;-;-;-
28.08.2025 17:45;28.08.2025 18:00;53,500;-;-;-
28.08.2025 18:00;28.08.2025 18:15;97,500;-;-;-
28.08.2025 18:15;28.08.2025 18:30;97,500;-;-;-
28.08.2025 18:30;28.08.2025 18:45;97,500;-;-;-
28.08.2025 18:45;28.08.2025 19:00;97,500;-;-;-
28.08.2025 19:00;28.08.2025 19:15;82,750;-;-;-
28.08.2025 19:15;28.08.2025 19:30;82,750;-;-;-
28.08.2025 19:30;28.08.2025 19:45;82,750;-;-;-
28.08.2025 19:45;28.08.2025 20:00;82,750;-;-;-
28.08.2025 20:00;28.08.2025 20:15;92,750;-;-;-
28.08.2025 20:15;28.08.2025 20:30;92,750;-;-;-
28.08.2025 20:30;28.08.2025 20:45;92,750;-;-;-
28.08.2025 20:45;28.08.2025 21:00;92,750;-;-;-
28.08.2025 21:00;28.08.2025 21:15;24,500;-;-;-
28.08.2025 21:15;28.08.2025 21:30;24,500;-;-;-
28.08.2025 21:30;28.08.2025 21:45;24,500;-;-;-
28.08.2025 21:45;28.08.2025 22:00;24,500;-;-;-
28.08.2025 22:00;28.08.2025 22:15;2,250;-;-;-
28.08.2025 22:15;28.08.2025 22:30;2,250;-;-;-
28.08.2025 22:30;28.08.2025 22:45;2,250;-;-;-
28.08.2025 22:45;28.08.2025 23:00;2,250;-;-;-
28.08.2025 23:00;28.08.2025 23:15;13,500;-;-;-
28.08.2025 23:15;28.08.2025 23:30;13,500;-;-;-
28.08.2025 23:30;28.08.2025 23:45;13,500;-;-;-
28.08.2025 23:45;29.08.2025 00:00;13,500;-;-;-
29.08.2025 00:00;29.08.2025 00:15;9,500;-;-;-
29.08.2025 00:15;29.08.2025 00:30;9,500;-;-;-
29.08.2025 00:30;29.08.2025 00:45;9,500;-;-;-
29.08.2025 00:45;29.08.2025 01:00;9,500;-;-;-
29.08.2025 01:00;29.08.2025 01:15;6,500;-;-;-
29.08.2025 01:15;29.08.2025 01:30;6,500;-;-;-
29.08.2025 01:30;29.08.2025 01:45;6,500;-;-;-
29.08.2025 01:45;29.08.2025 02:00;6,500;-;-;-
29.08.2025 02:00;29.08.2025 02:15;2,000;-;-;-
29.08.2025 02:15;29.08.2025 02:30;2,000;-;-;-
29.08.2025 02:30;29.08.2025 02:45;2,000;-;-;-
29.08.2025 02:45;29.08.2025 03:00;2,000;-;-;-
29.08.2025 03:00;29.08.2025 03:15;0,000;-;-;-
29.08.2025 03:15;29.08.2025 03:30;0,000;-;-;-
29.08.2025 03:30;29.08.2025 03:45;0,000;-;-;-
29.08.2025 03:45;29.08.2025 04:00;0,000;-;-;-
29.08.2025 04:00;29.08.2025 04:15;0,000;-;-;-
29.08.2025 04:15;29.08.2025 04:30;0,000;-;-;-
29.08.2025 04:30;29.08.2025 04:45;0,000;-;-;-
29.08.2025 04:45;29.08.2025 05:00;0,000;-;-;-
29.08.2025 05:00;29.08.2025 05:15;0,000;-;-;-
29.08.2025 05:15;29.08.2025 05:30;0,000;-;-;-
29.08.2025 05:30;29.08.2025 05:45;0,000;-;-;-
29.08.2025 05:45;29.08.2025 06:00;0,000;-;-;-
29.08.2025 06:00;29.08.2025 06:15;13,750;-;-;-
29.08.2025 06:15;29.08.2025 06:30;13,750;-;-;-
29.08.2025 06:30;29.08.2025 06:45;13,750;-;-;-
29.08.2025 06:45;29.08.2025 07:00;13,750;-;-;-
29.08.2025 07:00;29.08.2025 07:15;92,000;-;-;-
29.08.2025 07:15;29.08.2025 07:30;92,000;-;-;-
29.08.2025 07:30;29.08.2025 07:45;92,000;-;-;-
29.08.2025 07:45;29.08.2025 08:00;92,000;-;-;-
29.08.2025 08:00;29.08.2025 08:15;59,750;-;-;-
29.08.2025 08:15;29.08.2025 08:30;59,750;-;-;-
29.08.2025 08:30;29.08.2025 08:45;59,750;-;-;-
29.08.2025 08:45;29.08.2025 09:00;59,750;-;-;-
29.08.2025 09:00;29.08.2025 09:15;10,000;-;-;-
29.08.2025 09:15;29.08.2025 09:30;10,000;-;-;-
29.08.2025 09:30;29.08.2025 09:45;10,000;-;-;-
29.08.2025 09:45;29.08.2025 10:00;10,000;-;-;-
29.08.2025 10:00;29.08.2025 10:15;15,000;-;-;-
29.08.2025 10:15;29.08.2025 10:30;15,000;-;-;-
29.08.2025 10:30;29.08.2025 10:45;15,000;-;-;-
29.08.2025 10:45;29.08.2025 11:00;15,000;-;-;-
29.08.2025 11:00;29.08.2025 11:15;0,750;-;-;-
29.08.2025 11:15;29.08.2025 11:30;0,750;-;-;-
29.08.2025 11:30;29.08.2025 11:45;0,750;-;-;-
29.08.2025 11:45;29.08.2025 12:00;0,750;-;-;-
29.08.2025 12:00;29.08.2025 12:15;3,750;-;-;-
29.08.2025 12:15;29.08.2025 12:30;3,750;-;-;-
29.08.2025 12:30;29.08.2025 12:45;3,750;-;-;-
29.08.2025 12:45;29.08.2025 13:00;3,750;-;-;-
29.08.2025 13:00;29.08.2025 13:15;0,000;-;-;-
29.08.2025 13:15;29.08.2025 13:30;0,000;-;-;-
29.08.2025 13:30;29.08.2025 13:45;0,000;-;-;-
29.08.2025 13:45;29.08.2025 14:00;0,000;-;-;-
29.08.2025 14:00;29.08.2025 14:15;0,000;-;-;-
29.08.2025 14:15;29.08.2025 14:30;0,000;-;-;-
29.08.2025 14:30;29.08.2025 14:45;0,000;-;-;-
29.08.2025 14:45;29.08.2025 15:00;0,000;-;-;-
29.08.2025 15:00;29.08.2025 15:15;0,000;-;-;-
29.08.2025 15:15;29.08.2025 15:30;0,000;-;-;-
29.08.2025 15:30;29.08.2025 15:45;0,000;-;-;-
29.08.2025 15:45;29.08.2025 16:00;0,000;-;-;-
29.08.2025 16:00;29.08.2025 16:15;43,250;-;-;-
29.08.2025 16:15;29.08.2025 16:30;43,250;-;-;-
29.08.2025 16:30;29.08.2025 16:45;43,250;-;-;-
29.08.2025 16:45;29.08.2025 17:00;43,250;-;-;-
29.08.2025 17:00;29.08.2025 17:15;25,250;-;-;-
29.08.2025 17:15;29.08.2025 17:30;25,250;-;-;-
29.08.2025 17:30;29.08.2025 17:45;25,250;-;-;-
29.08.2025 17:45;29.08.2025 18:00;25,250;-;-;-
29.08.2025 18:00;29.08.2025 18:15;59,000;-;-;-
29.08.2025 18:15;29.08.2025 18:30;59,000;-;-;-
29.08.2025 18:30;29.08.2025 18:45;59,000;-;-;-
29.08.2025 18:45;29.08.2025 19:00;59,000;-;-;-
29.08.2025 19:00;29.08.2025 19:15;45,250;-;-;-
29.08.2025 19:15;29.08.2025 19:30;45,250;-;-;-
29.08.2025 19:30;29.08.2025 19:45;45,250;-;-;-
29.08.2025 19:45;29.08.2025 20:00;45,250;-;-;-
29.08.2025 20:00;29.08.2025 20:15;59,250;-;-;-
29.08.2025 20:15;29.08.2025 20:30;59,250;-;-;-
29.08.2025 20:30;29.08.2025 20:45;59,250;-;-;-
29.08.2025 20:45;29.08.2025 21:00;59,250;-;-;-
29.08.2025 21:00;29.08.2025 21:15;7,000;-;-;-
29.08.2025 21:15;29.08.2025 21:30;7,000;-;-;-
29.08.2025 21:30;29.08.2025 21:45;7,000;-;-;-
29.08.2025 21:45;29.08.2025 22:00;7,000;-;-;-
29.08.2025 22:00;29.08.2025 22:15;3,000;-;-;-
29.08.2025 22:15;29.08.2025 22:30;3,000;-;-;-
29.08.2025 22:30;29.08.2025 22:45;3,000;-;-;-
29.08.2025 22:45;29.08.2025 23:00;3,000;-;-;-
29.08.2025 23:00;29.08.2025 23:15;11,750;-;-;-
29.08.2025 23:15;29.08.2025 23:30;11,750;-;-;-
29.08.2025 23:30;29.08.2025 23:45;11,750;-;-;-
29.08.2025 23:45;30.08.2025 00:00;11,750;-;-;-
30.08.2025 00:00;30.08.2025 00:15;7,500;-;-;-
30.08.2025 00:15;30.08.2025 00:30;7,500;-;-;-
30.08.2025 00:30;30.08.2025 00:45;7,500;-;-;-
30.08.2025 00:45;30.08.2025 01:00;7,500;-;-;-
30.08.2025 01:00;30.08.2025 01:15;1,000;-;-;-
30.08.2025 01:15;30.08.2025 01:30;1,000;-;-;-
30.08.2025 01:30;30.08.2025 01:45;1,000;-;-;-
30.08.2025 01:45;30.08.2025 02:00;1,000;-;-;-
30.08.2025 02:00;30.08.2025 02:15;0,000;-;-;-
30.08.2025 02:15;30.08.2025 02:30;0,000;-;-;-
