Datum von;Datum bis;Generation_DE Maschine 1 [MW] Berechnete Auflösungen;Generation_DE Maschine 2 [MW] Berechnete Auflösungen
29.08.2025 17:30;29.08.2025 17:45;4,500;10,250
29.08.2025 17:45;29.08.2025 18:00;4,500;10,250
29.08.2025 18:00;29.08.2025 18:15;24,500;5,250
29.08.2025 18:15;29.08.2025 18:30;24,500;5,250
29.08.2025 18:30;29.08.2025 18:45;24,500;5,250
29.08.2025 18:45;29.08.2025 19:00;24,500;5,250
29.08.2025 19:00;29.08.2025 19:15;40,500;31,000
29.08.2025 19:15;29.08.2025 19:30;40,500;31,000
29.08.2025 19:30;29.08.2025 19:45;40,500;31,000
29.08.2025 19:45;29.08.2025 20:00;40,500;31,000
29.08.2025 20:00;29.08.2025 20:15;20,000;45,250
29.08.2025 20:15;29.08.2025 20:30;20,000;45,250
29.08.2025 20:30;29.08.2025 20:45;20,000;45,250
29.08.2025 20:45;29.08.2025 21:00;20,000;45,250
29.08.2025 21:00;29.08.2025 21:15;12,500;21,500
29.08.2025 21:15;29.08.2025 21:30;12,500;21,500
29.08.2025 21:30;29.08.2025 21:45;12,500;21,500
29.08.2025 21:45;29.08.2025 22:00;12,500;21,500
29.08.2025 22:00;29.08.2025 22:15;7,250;4,250
29.08.2025 22:15;29.08.2025 22:30;7,250;4,250
29.08.2025 22:30;29.08.2025 22:45;7,250;4,250
29.08.2025 22:45;29.08.2025 23:00;7,250;4,250
29.08.2025 23:00;29.08.2025 23:15;19,750;5,000
29.08.2025 23:15;29.08.2025 23:30;19,750;5,000
29.08.2025 23:30;29.08.2025 23:45;19,750;5,000
29.08.2025 23:45;30.08.2025 00:00;19,750;5,000
30.08.2025 00:00;30.08.2025 00:15;10,000;1,750
30.08.2025 00:15;30.08.2025 00:30;10,000;1,750
30.08.2025 00:30;30.08.2025 00:45;10,000;1,750
30.08.2025 00:45;30.08.2025 01:00;10,000;1,750
30.08.2025 01:00;30.08.2025 01:15;0,000;0,000
30.08.2025 01:15;30.08.2025 01:30;0,000;0,000
30.08.2025 01:30;30.08.2025 01:45;0,000;0,000
30.08.2025 01:45;30.08.2025 02:00;0,000;0,000
30.08.2025 02:00;30.08.2025 02:15;0,000;0,000
30.08.2025 02:15;30.08.2025 02:30;0,000;0,000
30.08.2025 02:30;30.08.2025 02:45;0,000;0,000
30.08.2025 02:45;30.08.2025 03:00;0,000;0,000
30.08.2025 03:00;30.08.2025 03:15;0,000;0,000
30.08.2025 03:15;30.08.2025 03:30;0,000;0,000
30.08.2025 03:30;30.08.2025 03:45;0,000;0,000
30.08.2025 03:45;30.08.2025 04:00;0,000;0,000
30.08.2025 04:00;30.08.2025 04:15;0,000;0,000
30.08.2025 04:15;30.08.2025 04:30;0,000;0,000
30.08.2025 04:30;30.08.2025 04:45;0,000;0,000
30.08.2025 04:45;30.08.2025 05:00;0,000;0,000
30.08.2025 05:00;30.08.2025 05:15;0,000;0,000
30.08.2025 05:15;30.08.2025 05:30;0,000;0,000
30.08.2025 05:30;30.08.2025 05:45;0,000;0,000
30.08.2025 05:45;30.08.2025 06:00;0,000;0,000
30.08.2025 06:00;30.08.2025 06:15;0,250;0,000
30.08.2025 06:15;30.08.2025 06:30;0,250;0,000
30.08.2025 06:30;30.08.2025 06:45;0,250;0,000
30.08.2025 06:45;30.08.2025 07:00;0,250;0,000
30.08.2025 07:00;30.08.2025 07:15;29,250;26,750
30.08.2025 07:15;30.08.2025 07:30;29,250;26,750
30.08.2025 07:30;30.08.2025 07:45;29,250;26,750
30.08.2025 07:45;30.08.2025 08:00;29,250;26,750
30.08.2025 08:00;30.08.2025 08:15;24,250;19,500
30.08.2025 08:15;30.08.2025 08:30;24,250;19,500
30.08.2025 08:30;30.08.2025 08:45;24,250;19,500
30.08.2025 08:45;30.08.2025 09:00;24,250;19,500
30.08.2025 09:00;30.08.2025 09:15;12,500;8,000
30.08.2025 09:15;30.08.2025 09:30;12,500;8,000
30.08.2025 09:30;30.08.2025 09:45;12,500;8,000
30.08.2025 09:45;30.08.2025 10:00;12,500;8,000
30.08.2025 10:00;30.08.2025 10:15;5,000;12,500
30.08.2025 10:15;30.08.2025 10:30;5,000;12,500
30.08.2025 10:30;30.08.2025 10:45;5,000;12,500
30.08.2025 10:45;30.08.2025 11:00;5,000;12,500
30.08.2025 11:00;30.08.2025 11:15;4,250;5,000
30.08.2025 11:15;30.08.2025 11:30;4,250;5,000
30.08.2025 11:30;30.08.2025 11:45;4,250;5,000
30.08.2025 11:45;30.08.2025 12:00;4,250;5,000
30.08.2025 12:00;30.08.2025 12:15;0,000;0,500
30.08.2025 12:15;30.08.2025 12:30;0,000;0,500
30.08.2025 12:30;30.08.2025 12:45;0,000;0,500
30.08.2025 12:45;30.08.2025 13:00;0,000;0,500
30.08.2025 13:00;30.08.2025 13:15;0,000;0,000
30.08.2025 13:15;30.08.2025 13:30;0,000;0,000
30.08.2025 13:30;30.08.2025 13:45;0,000;0,000
30.08.2025 13:45;30.08.2025 14:00;0,000;0,000
30.08.2025 14:00;30.08.2025 14:15;0,000;0,000
30.08.2025 14:15;30.08.2025 14:30;0,000;0,000
30.08.2025 14:30;30.08.2025 14:45;0,000;0,000
30.08.2025 14:45;30.08.2025 15:00;0,000;0,000
30.08.2025 15:00;30.08.2025 15:15;0,000;0,500
30.08.2025 15:15;30.08.2025 15:30;0,000;0,500
30.08.2025 15:30;30.08.2025 15:45;0,000;0,500
30.08.2025 15:45;30.08.2025 16:00;0,000;0,500
30.08.2025 16:00;30.08.2025 16:15;4,250;7,750
30.08.2025 16:15;30.08.2025 16:30;4,250;7,750
30.08.2025 16:30;30.08.2025 16:45;4,250;7,750
30.08.2025 16:45;30.08.2025 17:00;4,250;7,750
30.08.2025 17:00;30.08.2025 17:15;7,000;21,000
30.08.2025 17:15;30.08.2025 17:30;7,000;21,000
30.08.2025 17:30;30.08.2025 17:45;7,000;21,000
