Datum von;Datum bis;Generation_DE Maschine 1 [MW] Berechnete Auflösungen;Generation_DE Maschine 2 [MW] Berechnete Auflösungen
30.08.2025 12:15;30.08.2025 12:30;0,000;0,000
30.08.2025 12:30;30.08.2025 12:45;0,000;0,000
30.08.2025 12:45;30.08.2025 13:00;0,000;0,000
30.08.2025 13:00;30.08.2025 13:15;0,000;0,000
30.08.2025 13:15;30.08.2025 13:30;0,000;0,000
30.08.2025 13:30;30.08.2025 13:45;0,000;0,000
30.08.2025 13:45;30.08.2025 14:00;0,000;0,000
30.08.2025 14:00;30.08.2025 14:15;0,000;0,000
30.08.2025 14:15;30.08.2025 14:30;0,000;0,000
30.08.2025 14:30;30.08.2025 14:45;0,000;0,000
30.08.2025 14:45;30.08.2025 15:00;0,000;0,000
30.08.2025 15:00;30.08.2025 15:15;0,000;0,000
30.08.2025 15:15;30.08.2025 15:30;0,000;0,000
30.08.2025 15:30;30.08.2025 15:45;0,000;0,000
30.08.2025 15:45;30.08.2025 16:00;0,000;0,000
30.08.2025 16:00;30.08.2025 16:15;0,000;0,000
30.08.2025 16:15;30.08.2025 16:30;0,000;0,000
