Datum von;Datum bis;Generation_DE GuD Herne [MW] Berechnete Auflösungen
30.08.2025 15:45;30.08.2025 16:00;0,000
30.08.2025 16:00;30.08.2025 16:15;0,000
30.08.2025 16:15;30.08.2025 16:30;0,000
30.08.2025 16:30;30.08.2025 16:45;0,000
30.08.2025 16:45;30.08.2025 17:00;0,000
30.08.2025 17:00;30.08.2025 17:15;35,750
30.08.2025 17:15;30.08.2025 17:30;35,750
30.08.2025 17:30;30.08.2025 17:45;35,750
30.08.2025 17:45;30.08.2025 18:00;35,750
30.08.2025 18:00;30.08.2025 18:15;122,750
30.08.2025 18:15;30.08.2025 18:30;122,750
30.08.2025 18:30;30.08.2025 18:45;122,750
30.08.2025 18:45;30.08.2025 19:00;122,750
30.08.2025 19:00;30.08.2025 19:15;143,500
30.08.2025 19:15;30.08.2025 19:30;143,500
30.08.2025 19:30;30.08.2025 19:45;143,500
30.08.2025 19:45;30.08.2025 20:00;143,500
30.08.2025 20:00;30.08.2025 20:15;146,000
30.08.2025 20:15;30.08.2025 20:30;146,000
30.08.2025 20:30;30.08.2025 20:45;146,000
30.08.2025 20:45;30.08.2025 21:00;146,000
30.08.2025 21:00;30.08.2025 21:15;147,250
30.08.2025 21:15;30.08.2025 21:30;147,250
30.08.2025 21:30;30.08.2025 21:45;147,250
30.08.2025 21:45;30.08.2025 22:00;147,250
30.08.2025 22:00;30.08.2025 22:15;148,250
30.08.2025 22:15;30.08.2025 22:30;148,250
30.08.2025 22:30;30.08.2025 22:45;148,250
30.08.2025 22:45;30.08.2025 23:00;148,250
30.08.2025 23:00;30.08.2025 23:15;141,500
30.08.2025 23:15;30.08.2025 23:30;141,500
30.08.2025 23:30;30.08.2025 23:45;141,500
30.08.2025 23:45;31.08.2025 00:00;141,500
31.08.2025 00:00;31.08.2025 00:15;18,250
31.08.2025 00:15;31.08.2025 00:30;18,250
31.08.2025 00:30;31.08.2025 00:45;18,250
31.08.2025 00:45;31.08.2025 01:00;18,250
31.08.2025 01:00;31.08.2025 01:15;0,000
31.08.2025 01:15;31.08.2025 01:30;0,000
31.08.2025 01:30;31.08.2025 01:45;0,000
31.08.2025 01:45;31.08.2025 02:00;0,000
31.08.2025 02:00;31.08.2025 02:15;0,000
31.08.2025 02:15;31.08.2025 02:30;0,000
31.08.2025 02:30;31.08.2025 02:45;0,000
31.08.2025 02:45;31.08.2025 03:00;0,000
31.08.2025 03:00;31.08.2025 03:15;0,000
31.08.2025 03:15;31.08.2025 03:30;0,000
31.08.2025 03:30;31.08.2025 03:45;0,000
31.08.2025 03:45;31.08.2025 04:00;0,000
31.08.2025 04:00;31.08.2025 04:15;0,000
31.08.2025 04:15;31.08.2025 04:30;0,000
31.08.2025 04:30;31.08.2025 04:45;0,000
31.08.2025 04:45;31.08.2025 05:00;0,000
31.08.2025 05:00;31.08.2025 05:15;0,000
