Datum von;Datum bis;Generation_DE Block 7 [MW] Berechnete Auflösungen;Generation_DE Block 8 [MW] Berechnete Auflösungen;Generation_DE Block 8 Wasserturbine [MW] Berechnete Auflösungen;Generation_DE Block 4S GT [MW] Berechnete Auflösungen;Generation_DE Block 4S DT [MW] Berechnete Auflösungen
28.08.2025 04:30;28.08.2025 04:45;-;200,000;-;-;-
28.08.2025 04:45;28.08.2025 05:00;-;200,000;-;-;-
28.08.2025 05:00;28.08.2025 05:15;-;201,000;-;-;-
28.08.2025 05:15;28.08.2025 05:30;-;201,000;-;-;-
28.08.2025 05:30;28.08.2025 05:45;-;201,000;-;-;-
28.08.2025 05:45;28.08.2025 06:00;-;201,000;-;-;-
28.08.2025 06:00;28.08.2025 06:15;-;202,250;-;-;-
28.08.2025 06:15;28.08.2025 06:30;-;202,250;-;-;-
28.08.2025 06:30;28.08.2025 06:45;-;202,250;-;-;-
28.08.2025 06:45;28.08.2025 07:00;-;202,250;-;-;-
28.08.2025 07:00;28.08.2025 07:15;-;202,500;-;-;-
28.08.2025 07:15;28.08.2025 07:30;-;202,500;-;-;-
28.08.2025 07:30;28.08.2025 07:45;-;202,500;-;-;-
28.08.2025 07:45;28.08.2025 08:00;-;202,500;-;-;-
28.08.2025 08:00;28.08.2025 08:15;-;202,500;-;-;-
28.08.2025 08:15;28.08.2025 08:30;-;202,500;-;-;-
28.08.2025 08:30;28.08.2025 08:45;-;202,500;-;-;-
28.08.2025 08:45;28.08.2025 09:00;-;202,500;-;-;-
28.08.2025 09:00;28.08.2025 09:15;-;202,500;-;-;-
28.08.2025 09:15;28.08.2025 09:30;-;202,500;-;-;-
28.08.2025 09:30;28.08.2025 09:45;-;202,500;-;-;-
28.08.2025 09:45;28.08.2025 10:00;-;202,500;-;-;-
28.08.2025 10:00;28.08.2025 10:15;-;202,250;-;-;-
28.08.2025 10:15;28.08.2025 10:30;-;202,250;-;-;-
28.08.2025 10:30;28.08.2025 10:45;-;202,250;-;-;-
28.08.2025 10:45;28.08.2025 11:00;-;202,250;-;-;-
28.08.2025 11:00;28.08.2025 11:15;-;202,500;-;-;-
28.08.2025 11:15;28.08.2025 11:30;-;202,500;-;-;-
28.08.2025 11:30;28.08.2025 11:45;-;202,500;-;-;-
28.08.2025 11:45;28.08.2025 12:00;-;202,500;-;-;-
28.08.2025 12:00;28.08.2025 12:15;-;202,750;-;-;-
28.08.2025 12:15;28.08.2025 12:30;-;202,750;-;-;-
28.08.2025 12:30;28.08.2025 12:45;-;202,750;-;-;-
28.08.2025 12:45;28.08.2025 13:00;-;202,750;-;-;-
28.08.2025 13:00;28.08.2025 13:15;-;202,250;-;-;-
28.08.2025 13:15;28.08.2025 13:30;-;202,250;-;-;-
28.08.2025 13:30;28.08.2025 13:45;-;202,250;-;-;-
28.08.2025 13:45;28.08.2025 14:00;-;202,250;-;-;-
28.08.2025 14:00;28.08.2025 14:15;-;202,250;-;-;-
28.08.2025 14:15;28.08.2025 14:30;-;202,250;-;-;-
28.08.2025 14:30;28.08.2025 14:45;-;202,250;-;-;-
28.08.2025 14:45;28.08.2025 15:00;-;202,250;-;-;-
28.08.2025 15:00;28.08.2025 15:15;-;202,250;-;-;-
28.08.2025 15:15;28.08.2025 15:30;-;202,250;-;-;-
28.08.2025 15:30;28.08.2025 15:45;-;202,250;-;-;-
28.08.2025 15:45;28.08.2025 16:00;-;202,250;-;-;-
28.08.2025 16:00;28.08.2025 16:15;-;202,500;-;-;-
28.08.2025 16:15;28.08.2025 16:30;-;202,500;-;-;-
28.08.2025 16:30;28.08.2025 16:45;-;202,500;-;-;-
28.08.2025 16:45;28.08.2025 17:00;-;202,500;-;-;-
28.08.2025 17:00;28.08.2025 17:15;-;202,500;-;-;-
28.08.2025 17:15;28.08.2025 17:30;-;202,500;-;-;-
28.08.2025 17:30;28.08.2025 17:45;-;202,500;-;-;-
28.08.2025 17:45;28.08.2025 18:00;-;202,500;-;-;-
28.08.2025 18:00;28.08.2025 18:15;-;202,500;-;-;-
28.08.2025 18:15;28.08.2025 18:30;-;202,500;-;-;-
28.08.2025 18:30;28.08.2025 18:45;-;202,500;-;-;-
28.08.2025 18:45;28.08.2025 19:00;-;202,500;-;-;-
28.08.2025 19:00;28.08.2025 19:15;-;202,500;-;-;-
28.08.2025 19:15;28.08.2025 19:30;-;202,500;-;-;-
28.08.2025 19:30;28.08.2025 19:45;-;202,500;-;-;-
28.08.2025 19:45;28.08.2025 20:00;-;202,500;-;-;-
28.08.2025 20:00;28.08.2025 20:15;-;202,500;-;-;-
28.08.2025 20:15;28.08.2025 20:30;-;202,500;-;-;-
28.08.2025 20:30;28.08.2025 20:45;-;202,500;-;-;-
28.08.2025 20:45;28.08.2025 21:00;-;202,500;-;-;-
28.08.2025 21:00;28.08.2025 21:15;-;202,500;-;-;-
28.08.2025 21:15;28.08.2025 21:30;-;202,500;-;-;-
28.08.2025 21:30;28.08.2025 21:45;-;202,500;-;-;-
28.08.2025 21:45;28.08.2025 22:00;-;202,500;-;-;-
28.08.2025 22:00;28.08.2025 22:15;-;202,500;-;-;-
28.08.2025 22:15;28.08.2025 22:30;-;202,500;-;-;-
28.08.2025 22:30;28.08.2025 22:45;-;202,500;-;-;-
28.08.2025 22:45;28.08.2025 23:00;-;202,500;-;-;-
28.08.2025 23:00;28.08.2025 23:15;-;202,500;-;-;-
28.08.2025 23:15;28.08.2025 23:30;-;202,500;-;-;-
28.08.2025 23:30;28.08.2025 23:45;-;202,500;-;-;-
28.08.2025 23:45;29.08.2025 00:00;-;202,500;-;-;-
29.08.2025 00:00;29.08.2025 00:15;-;202,750;-;-;-
29.08.2025 00:15;29.08.2025 00:30;-;202,750;-;-;-
29.08.2025 00:30;29.08.2025 00:45;-;202,750;-;-;-
29.08.2025 00:45;29.08.2025 01:00;-;202,750;-;-;-
29.08.2025 01:00;29.08.2025 01:15;-;202,500;-;-;-
29.08.2025 01:15;29.08.2025 01:30;-;202,500;-;-;-
29.08.2025 01:30;29.08.2025 01:45;-;202,500;-;-;-
29.08.2025 01:45;29.08.2025 02:00;-;202,500;-;-;-
29.08.2025 02:00;29.08.2025 02:15;-;202,500;-;-;-
29.08.2025 02:15;29.08.2025 02:30;-;202,500;-;-;-
29.08.2025 02:30;29.08.2025 02:45;-;202,500;-;-;-
29.08.2025 02:45;29.08.2025 03:00;-;202,500;-;-;-
29.08.2025 03:00;29.08.2025 03:15;-;202,500;-;-;-
29.08.2025 03:15;29.08.2025 03:30;-;202,500;-;-;-
29.08.2025 03:30;29.08.2025 03:45;-;202,500;-;-;-
29.08.2025 03:45;29.08.2025 04:00;-;202,500;-;-;-
29.08.2025 04:00;29.08.2025 04:15;-;202,500;-;-;-
29.08.2025 04:15;29.08.2025 04:30;-;202,500;-;-;-
29.08.2025 04:30;29.08.2025 04:45;-;202,500;-;-;-
