Datum von;Datum bis;Generation_DE GuD 3 [MW] Berechnete Auflösungen;Generation_DE DT 2 [MW] Berechnete Auflösungen;Generation_DE GT 2 [MW] Berechnete Auflösungen
30.08.2025 00:15;30.08.2025 00:30;105,000;0,000;0,000
30.08.2025 00:30;30.08.2025 00:45;105,000;0,000;0,000
30.08.2025 00:45;30.08.2025 01:00;105,000;0,000;0,000
30.08.2025 01:00;30.08.2025 01:15;105,250;0,000;0,000
30.08.2025 01:15;30.08.2025 01:30;105,250;0,000;0,000
30.08.2025 01:30;30.08.2025 01:45;105,250;0,000;0,000
30.08.2025 01:45;30.08.2025 02:00;105,250;0,000;0,000
30.08.2025 02:00;30.08.2025 02:15;105,250;0,000;0,000
30.08.2025 02:15;30.08.2025 02:30;105,250;0,000;0,000
30.08.2025 02:30;30.08.2025 02:45;105,250;0,000;0,000
30.08.2025 02:45;30.08.2025 03:00;105,250;0,000;0,000
30.08.2025 03:00;30.08.2025 03:15;105,500;0,000;0,000
30.08.2025 03:15;30.08.2025 03:30;105,500;0,000;0,000
