Datum von;Datum bis;Generation_DE Block A [MW] Berechnete Auflösungen
30.08.2025 14:00;30.08.2025 14:15;0,000
30.08.2025 14:15;30.08.2025 14:30;0,000
30.08.2025 14:30;30.08.2025 14:45;0,000
30.08.2025 14:45;30.08.2025 15:00;0,000
30.08.2025 15:00;30.08.2025 15:15;0,000
30.08.2025 15:15;30.08.2025 15:30;0,000
30.08.2025 15:30;30.08.2025 15:45;0,000
30.08.2025 15:45;30.08.2025 16:00;0,000
30.08.2025 16:00;30.08.2025 16:15;1,000
30.08.2025 16:15;30.08.2025 16:30;1,000
30.08.2025 16:30;30.08.2025 16:45;1,000
30.08.2025 16:45;30.08.2025 17:00;1,000
30.08.2025 17:00;30.08.2025 17:15;52,500
30.08.2025 17:15;30.08.2025 17:30;52,500
30.08.2025 17:30;30.08.2025 17:45;52,500
30.08.2025 17:45;30.08.2025 18:00;52,500
30.08.2025 18:00;30.08.2025 18:15;87,000
30.08.2025 18:15;30.08.2025 18:30;87,000
30.08.2025 18:30;30.08.2025 18:45;87,000
30.08.2025 18:45;30.08.2025 19:00;87,000
30.08.2025 19:00;30.08.2025 19:15;121,500
30.08.2025 19:15;30.08.2025 19:30;121,500
30.08.2025 19:30;30.08.2025 19:45;121,500
30.08.2025 19:45;30.08.2025 20:00;121,500
30.08.2025 20:00;30.08.2025 20:15;127,500
30.08.2025 20:15;30.08.2025 20:30;127,500
30.08.2025 20:30;30.08.2025 20:45;127,500
30.08.2025 20:45;30.08.2025 21:00;127,500
30.08.2025 21:00;30.08.2025 21:15;122,750
30.08.2025 21:15;30.08.2025 21:30;122,750
30.08.2025 21:30;30.08.2025 21:45;122,750
30.08.2025 21:45;30.08.2025 22:00;122,750
30.08.2025 22:00;30.08.2025 22:15;88,250
30.08.2025 22:15;30.08.2025 22:30;88,250
30.08.2025 22:30;30.08.2025 22:45;88,250
30.08.2025 22:45;30.08.2025 23:00;88,250
30.08.2025 23:00;30.08.2025 23:15;17,500
30.08.2025 23:15;30.08.2025 23:30;17,500
30.08.2025 23:30;30.08.2025 23:45;17,500
30.08.2025 23:45;31.08.2025 00:00;17,500
31.08.2025 00:00;31.08.2025 00:15;0,000
31.08.2025 00:15;31.08.2025 00:30;0,000
31.08.2025 00:30;31.08.2025 00:45;0,000
31.08.2025 00:45;31.08.2025 01:00;0,000
31.08.2025 01:00;31.08.2025 01:15;0,000
31.08.2025 01:15;31.08.2025 01:30;0,000
31.08.2025 01:30;31.08.2025 01:45;0,000
31.08.2025 01:45;31.08.2025 02:00;0,000
31.08.2025 02:00;31.08.2025 02:15;0,000
31.08.2025 02:15;31.08.2025 02:30;0,000
31.08.2025 02:30;31.08.2025 02:45;0,000
31.08.2025 02:45;31.08.2025 03:00;0,000
31.08.2025 03:00;31.08.2025 03:15;0,000
31.08.2025 03:15;31.08.2025 03:30;0,000
31.08.2025 03:30;31.08.2025 03:45;0,000
31.08.2025 03:45;31.08.2025 04:00;0,000
31.08.2025 04:00;31.08.2025 04:15;0,000
31.08.2025 04:15;31.08.2025 04:30;0,000
31.08.2025 04:30;31.08.2025 04:45;0,000
31.08.2025 04:45;31.08.2025 05:00;0,000
31.08.2025 05:00;31.08.2025 05:15;0,000
31.08.2025 05:15;31.08.2025 05:30;0,000
31.08.2025 05:30;31.08.2025 05:45;0,000
31.08.2025 05:45;31.08.2025 06:00;0,000
31.08.2025 06:00;31.08.2025 06:15;0,000
31.08.2025 06:15;31.08.2025 06:30;0,000
31.08.2025 06:30;31.08.2025 06:45;0,000
31.08.2025 06:45;31.08.2025 07:00;0,000
31.08.2025 07:00;31.08.2025 07:15;0,000
31.08.2025 07:15;31.08.2025 07:30;0,000
31.08.2025 07:30;31.08.2025 07:45;0,000
31.08.2025 07:45;31.08.2025 08:00;0,000
31.08.2025 08:00;31.08.2025 08:15;0,000
31.08.2025 08:15;31.08.2025 08:30;0,000
31.08.2025 08:30;31.08.2025 08:45;0,000
31.08.2025 08:45;31.08.2025 09:00;0,000
31.08.2025 09:00;31.08.2025 09:15;0,000
31.08.2025 09:15;31.08.2025 09:30;0,000
31.08.2025 09:30;31.08.2025 09:45;0,000
31.08.2025 09:45;31.08.2025 10:00;0,000
31.08.2025 10:00;31.08.2025 10:15;0,000
31.08.2025 10:15;31.08.2025 10:30;0,000
31.08.2025 10:30;31.08.2025 10:45;0,000
31.08.2025 10:45;31.08.2025 11:00;0,000
31.08.2025 11:00;31.08.2025 11:15;0,000
31.08.2025 11:15;31.08.2025 11:30;0,000
31.08.2025 11:30;31.08.2025 11:45;0,000
31.08.2025 11:45;31.08.2025 12:00;0,000
31.08.2025 12:00;31.08.2025 12:15;0,000
31.08.2025 12:15;31.08.2025 12:30;0,000
31.08.2025 12:30;31.08.2025 12:45;0,000
