Datum von;Datum bis;Generation_DE Block B [MW] Berechnete Auflösungen;Generation_DE Block A [MW] Berechnete Auflösungen;Generation_DE Block C [MW] Berechnete Auflösungen;Generation_DE Block D [MW] Berechnete Auflösungen;Generation_DE Block E [MW] Berechnete Auflösungen;Generation_DE Bock F [MW] Berechnete Auflösungen
28.08.2025 11:30;28.08.2025 11:45;24,750;0,000;0,000;0,000;0,000;0,000
28.08.2025 11:45;28.08.2025 12:00;24,750;0,000;0,000;0,000;0,000;0,000
28.08.2025 12:00;28.08.2025 12:15;28,750;0,000;0,000;0,000;0,000;0,000
28.08.2025 12:15;28.08.2025 12:30;28,750;0,000;0,000;0,000;0,000;0,000
28.08.2025 12:30;28.08.2025 12:45;28,750;0,000;0,000;0,000;0,000;0,000
28.08.2025 12:45;28.08.2025 13:00;28,750;0,000;0,000;0,000;0,000;0,000
28.08.2025 13:00;28.08.2025 13:15;30,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 13:15;28.08.2025 13:30;30,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 13:30;28.08.2025 13:45;30,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 13:45;28.08.2025 14:00;30,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 14:00;28.08.2025 14:15;27,750;0,000;0,000;0,000;0,000;0,000
28.08.2025 14:15;28.08.2025 14:30;27,750;0,000;0,000;0,000;0,000;0,000
28.08.2025 14:30;28.08.2025 14:45;27,750;0,000;0,000;0,000;0,000;0,000
28.08.2025 14:45;28.08.2025 15:00;27,750;0,000;0,000;0,000;0,000;0,000
28.08.2025 15:00;28.08.2025 15:15;22,750;0,000;0,000;0,250;0,000;0,000
28.08.2025 15:15;28.08.2025 15:30;22,750;0,000;0,000;0,250;0,000;0,000
28.08.2025 15:30;28.08.2025 15:45;22,750;0,000;0,000;0,250;0,000;0,000
28.08.2025 15:45;28.08.2025 16:00;22,750;0,000;0,000;0,250;0,000;0,000
28.08.2025 16:00;28.08.2025 16:15;36,750;0,000;0,000;34,250;0,000;27,500
28.08.2025 16:15;28.08.2025 16:30;36,750;0,000;0,000;34,250;0,000;27,500
28.08.2025 16:30;28.08.2025 16:45;36,750;0,000;0,000;34,250;0,000;27,500
28.08.2025 16:45;28.08.2025 17:00;36,750;0,000;0,000;34,250;0,000;27,500
28.08.2025 17:00;28.08.2025 17:15;39,000;0,000;0,000;37,750;0,000;31,750
28.08.2025 17:15;28.08.2025 17:30;39,000;0,000;0,000;37,750;0,000;31,750
28.08.2025 17:30;28.08.2025 17:45;39,000;0,000;0,000;37,750;0,000;31,750
28.08.2025 17:45;28.08.2025 18:00;39,000;0,000;0,000;37,750;0,000;31,750
28.08.2025 18:00;28.08.2025 18:15;39,250;0,000;0,000;38,500;20,250;33,750
28.08.2025 18:15;28.08.2025 18:30;39,250;0,000;0,000;38,500;20,250;33,750
28.08.2025 18:30;28.08.2025 18:45;39,250;0,000;0,000;38,500;20,250;33,750
28.08.2025 18:45;28.08.2025 19:00;39,250;0,000;0,000;38,500;20,250;33,750
28.08.2025 19:00;28.08.2025 19:15;38,750;0,000;0,000;39,000;37,500;39,000
28.08.2025 19:15;28.08.2025 19:30;38,750;0,000;0,000;39,000;37,500;39,000
28.08.2025 19:30;28.08.2025 19:45;38,750;0,000;0,000;39,000;37,500;39,000
28.08.2025 19:45;28.08.2025 20:00;38,750;0,000;0,000;39,000;37,500;39,000
28.08.2025 20:00;28.08.2025 20:15;29,750;0,000;0,000;37,000;28,250;34,750
28.08.2025 20:15;28.08.2025 20:30;29,750;0,000;0,000;37,000;28,250;34,750
28.08.2025 20:30;28.08.2025 20:45;29,750;0,000;0,000;37,000;28,250;34,750
28.08.2025 20:45;28.08.2025 21:00;29,750;0,000;0,000;37,000;28,250;34,750
28.08.2025 21:00;28.08.2025 21:15;26,250;0,000;0,000;14,500;0,000;0,000
28.08.2025 21:15;28.08.2025 21:30;26,250;0,000;0,000;14,500;0,000;0,000
28.08.2025 21:30;28.08.2025 21:45;26,250;0,000;0,000;14,500;0,000;0,000
28.08.2025 21:45;28.08.2025 22:00;26,250;0,000;0,000;14,500;0,000;0,000
28.08.2025 22:00;28.08.2025 22:15;28,500;0,000;0,000;0,000;0,000;0,000
28.08.2025 22:15;28.08.2025 22:30;28,500;0,000;0,000;0,000;0,000;0,000
28.08.2025 22:30;28.08.2025 22:45;28,500;0,000;0,000;0,000;0,000;0,000
28.08.2025 22:45;28.08.2025 23:00;28,500;0,000;0,000;0,000;0,000;0,000
28.08.2025 23:00;28.08.2025 23:15;19,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 23:15;28.08.2025 23:30;19,000;0,000;0,000;0,000;0,000;0,000
